"0.69","77.73","4.17","76.82","78.64","0.67","0.73","1382153","2053175","630400","860000","506.2","510.0","5.29","30-Jul-2020","Mon Jul 06 11:31:57 IST 2020"
"0.69","77.77","4.18","76.81","78.73","0.67","0.74","1396713","2082261","644800","868000","506.7","510.0","5.29","30-Jul-2020","Mon Jul 06 11:33:28 IST 2020"
"0.67","77.77","4.13","76.81","78.73","0.65","0.73","1379369","2119191","639200","872000","506.55","510.0","5.29","30-Jul-2020","Mon Jul 06 11:35:20 IST 2020"
"0.67","77.77","4.13","76.81","78.73","0.65","0.7","1387767","2132936","628000","896800","506.0","510.0","5.29","30-Jul-2020","Mon Jul 06 11:36:57 IST 2020"
"0.68","77.77","4.09","76.81","78.73","0.67","0.71","1428936","2143607","636000","891200","506.1","510.0","5.29","30-Jul-2020","Mon Jul 06 11:38:51 IST 2020"
"0.66","77.77","4.14","76.81","78.73","0.65","0.7","1397436","2151069","624800","895200","506.05","510.0","5.29","30-Jul-2020","Mon Jul 06 11:40:45 IST 2020"
"0.68","77.77","4.29","76.81","78.73","0.66","0.73","1396586","2114729","637600","871200","506.05","510.0","5.29","30-Jul-2020","Mon Jul 06 11:42:07 IST 2020"
"0.68","77.59","4.21","76.58","78.6","0.67","0.72","1421210","2136308","634400","884800","506.7","510.0","5.29","30-Jul-2020","Mon Jul 06 11:43:55 IST 2020"
"0.67","77.59","4.23","76.58","78.6","0.65","0.7","1407363","2148688","625600","889600","506.55","510.0","5.29","30-Jul-2020","Mon Jul 06 11:45:38 IST 2020"
"0.66","77.59","4.17","76.58","78.6","0.65","0.7","1406123","2162463","628800","899200","506.5","510.0","5.29","30-Jul-2020","Mon Jul 06 11:46:53 IST 2020"
"0.67","77.59","4.12","76.58","78.6","0.66","0.71","1417639","2161062","639200","895200","506.5","510.0","5.29","30-Jul-2020","Mon Jul 06 11:48:10 IST 2020"
"0.67","77.59","4.22","76.58","78.6","0.66","0.72","1424587","2173632","640000","889600","506.3","510.0","5.29","30-Jul-2020","Mon Jul 06 11:49:24 IST 2020"
"0.67","77.59","4.22","76.58","78.6","0.66","0.72","1424587","2173632","640000","889600","506.3","510.0","5.29","30-Jul-2020","Mon Jul 06 11:49:25 IST 2020"
"0.64","77.59","4.03","76.58","78.6","0.62","0.7","1355601","2194601","636000","904800","506.2","510.0","5.29","30-Jul-2020","Mon Jul 06 11:51:07 IST 2020"
"0.65","77.19","4.02","76.42","77.96","0.62","0.7","1370775","2201254","632800","904000","505.8","510.0","5.29","30-Jul-2020","Mon Jul 06 11:52:31 IST 2020"
